%US Seg Data File
%Files:	07.31.39 hrs __[0001076].jpg	07.32.31 hrs __[0001077].jpg	07.32.35 hrs __[0001078].jpg	07.32.39 hrs __[0001079].jpg	07.32.43 hrs __[0001080].jpg	07.32.48 hrs __[0001081].jpg	07.32.51 hrs __[0001082].jpg	07.32.55 hrs __[0001083].jpg	07.32.59 hrs __[0001084].jpg	07.33.04 hrs __[0001085].jpg	07.33.13 hrs __[0001086].jpg	07.33.18 hrs __[0001087].jpg
%Slice(#)	x-pos(pix)	y-pos(pix)
1.00	NaN	NaN
2.01	196.9	81.5
2.02	203.2	93.2
2.03	213.2	101.4
2.04	223.1	105.9
2.05	237.6	106.8
2.06	246.7	105.0
2.07	267.5	115.9
2.08	280.2	122.2
2.09	292.9	129.5
2.10	302.8	135.8
2.11	321.9	144.0
2.12	337.3	151.2
2.13	346.3	156.6
2.14	361.7	161.2
2.15	373.5	165.7
2.16	382.5	167.5
2.17	391.6	167.5
2.18	406.1	167.5
2.19	419.7	162.1
2.20	431.4	162.1
2.21	449.6	154.8
2.22	462.2	143.0
2.23	474.0	134.9
2.24	484.0	124.0
2.25	498.5	110.4
2.26	507.5	100.5
3.01	174.2	81.5
3.02	183.3	90.5
3.03	187.8	94.1
3.04	198.7	100.5
3.05	209.6	103.2
3.06	224.0	106.8
3.07	235.8	107.7
3.08	248.5	111.3
3.09	258.5	117.7
3.10	270.2	122.2
3.11	281.1	124.9
3.12	291.1	128.6
3.13	298.3	133.1
3.14	309.2	139.4
3.15	319.1	144.0
3.16	329.1	147.6
3.17	339.1	149.4
3.18	350.8	152.1
3.19	359.0	160.3
3.20	372.6	162.1
3.21	387.1	163.0
3.22	401.6	163.0
3.23	420.6	164.8
3.24	433.3	159.3
3.25	445.9	156.6
3.26	460.4	149.4
3.27	474.9	143.0
3.28	485.8	136.7
3.29	495.7	129.5
3.30	507.5	115.0
4.01	193.3	76.0
4.02	204.1	84.2
4.03	213.2	90.5
4.04	225.0	96.9
4.05	235.8	105.9
4.06	244.9	113.2
4.07	254.8	120.4
4.08	263.9	122.2
4.09	272.0	125.8
4.10	280.2	132.2
4.11	293.8	134.0
4.12	307.4	141.2
4.13	322.8	145.8
4.14	335.4	150.3
4.15	342.7	154.8
4.16	350.8	157.5
4.17	359.9	160.3
4.18	371.7	164.8
4.19	386.2	168.4
4.20	395.2	168.4
4.21	404.3	169.3
4.22	417.9	169.3
4.23	430.5	169.3
4.24	442.3	168.4
4.25	455.9	163.9
4.26	466.8	158.4
4.27	479.4	150.3
4.28	492.1	139.4
4.29	503.9	130.4
4.30	513.0	121.3
4.31	523.8	109.5
4.32	530.2	102.3
5.01	179.7	93.2
5.02	195.1	105.9
5.03	207.7	113.2
5.04	219.5	124.0
5.05	232.2	132.2
5.06	248.5	135.8
5.07	263.9	136.7
5.08	274.8	136.7
5.09	291.1	143.0
5.10	303.7	150.3
5.11	317.3	151.2
