%US Seg Data File
%Files:	07.45.21 hrs __[0001110].jpg	07.46.12 hrs __[0001111].jpg	07.46.15 hrs __[0001112].jpg	07.46.18 hrs __[0001113].jpg	07.46.22 hrs __[0001114].jpg	07.46.25 hrs __[0001115].jpg	07.46.28 hrs __[0001116].jpg	07.46.31 hrs __[0001117].jpg	07.46.35 hrs __[0001118].jpg	07.46.38 hrs __[0001119].jpg	07.46.45 hrs __[0001120].jpg	07.46.49 hrs __[0001121].jpg	07.46.53 hrs __[0001122].jpg
%Slice(#)	x-pos(pix)	y-pos(pix)
1.00	NaN	NaN
2.01	211.4	71.5
2.02	219.5	84.2
2.03	225.9	95.0
2.04	246.7	101.4
2.05	263.0	105.9
2.06	289.3	128.6
2.07	291.1	139.4
2.08	299.2	156.6
2.09	304.7	169.3
2.10	320.0	173.8
2.11	334.5	172.9
2.12	345.4	172.9
2.13	361.7	177.5
2.14	373.5	178.4
2.15	381.6	185.6
2.16	397.0	183.8
2.17	411.5	180.2
2.18	423.3	175.7
2.19	433.3	169.3
2.20	444.1	161.2
2.21	453.2	152.1
2.22	463.1	142.1
2.23	471.3	135.8
2.24	484.0	118.6
2.25	496.7	101.4
2.26	502.1	90.5
3.01	222.2	72.4
3.02	227.7	88.7
3.03	240.3	98.7
3.04	248.5	103.2
3.05	261.2	112.3
3.06	276.6	114.1
3.07	291.1	115.9
3.08	300.1	123.1
3.09	303.7	128.6
3.10	311.0	137.6
3.11	323.7	147.6
3.12	340.0	159.3
3.13	359.9	167.5
3.14	377.1	171.1
3.15	391.6	176.6
3.16	407.0	176.6
3.17	421.5	173.8
3.18	435.1	168.4
3.19	445.0	162.1
3.20	458.6	154.8
3.21	467.7	144.0
3.22	477.6	134.0
3.23	486.7	125.8
3.24	499.4	114.1
3.25	508.4	106.8
4.01	209.6	77.8
4.02	214.1	90.5
4.03	219.5	100.5
4.04	228.6	115.0
4.05	240.3	127.7
4.06	253.0	134.9
4.07	262.1	138.5
4.08	273.0	143.0
4.09	288.3	146.7
4.10	295.6	145.8
4.11	303.7	144.0
4.12	308.3	136.7
4.13	318.2	142.1
4.14	328.2	150.3
4.15	340.0	153.9
4.16	352.7	161.2
4.17	364.4	168.4
4.18	377.1	174.7
4.19	391.6	182.0
4.20	402.5	182.0
4.21	412.4	172.0
4.22	423.3	172.0
4.23	436.9	174.7
4.24	449.6	173.8
4.25	459.5	168.4
4.26	466.8	163.0
4.27	473.1	155.7
4.28	484.0	142.1
4.29	492.1	127.7
4.30	500.3	120.4
4.31	508.4	110.4
4.32	520.2	97.8
4.33	528.3	88.7
5.01	207.7	72.4
5.02	210.5	91.4
5.03	225.9	101.4
5.04	243.1	106.8
5.05	263.0	117.7
5.06	291.1	131.3
5.07	306.5	137.6
5.08	320.0	146.7
5.09	339.1	151.2
5.10	354.5	165.7
5.11	369.9	176.6
5.12	383.4	182.9
5.13	397.9	188.3
5.14	424.2	188.3
5.15	441.4	183.8
5.16	456.8	180.2
5.17	467.7	170.2
5.18	478.5	162.1
5.19	490.3	152.1
5.20	499.4	145.8
5.21	507.5	137.6
5.22	514.8	128.6
5.23	522.9	120.4
5.24	532.0	104.1
6.01	174.2	86.0
6.02	179.7	92.3
6.03	186.0	100.5
6.04	191.4	111.3
6.05	200.5	124.9
6.06	206.8	132.2
6.07	216.8	146.7
6.08	235.8	155.7
6.09	245.8	161.2
6.10	259.4	164.8
6.11	274.8	164.8
6.12	285.6	165.7
6.13	296.5	167.5
6.14	309.2	166.6
6.15	317.3	165.7
6.16	322.8	165.7
6.17	340.0	171.1
6.18	350.8	179.3
6.19	362.6	183.8
6.20	375.3	189.2
6.21	388.9	192.9
6.22	406.1	197.4
6.23	421.5	197.4
6.24	434.2	199.2
6.25	448.7	195.6
6.26	461.3	192.9
6.27	472.2	186.5
6.28	480.3	183.8
6.29	490.3	173.8
6.30	499.4	166.6
6.31	511.1	155.7
6.32	520.2	147.6
6.33	528.3	137.6
6.34	536.5	126.7
6.35	545.6	115.9
7.01	139.8	82.4
7.02	149.8	94.1
7.03	159.7	105.0
7.04	161.6	112.3
7.05	165.2	120.4
7.06	169.7	130.4
7.07	175.1	136.7
7.08	186.9	140.3
7.09	195.1	148.5
7.10	210.5	161.2
7.11	221.3	172.0
7.12	229.5	182.9
7.13	243.1	182.9
7.14	257.6	183.8
7.15	271.1	182.9
7.16	284.7	175.7
7.17	305.6	179.3
7.18	321.0	183.8
7.19	332.7	182.9
7.20	346.3	187.4
7.21	355.4	191.0
7.22	362.6	197.4
7.23	376.2	200.1
7.24	388.9	202.8
7.25	403.4	207.3
7.26	417.9	210.1
7.27	431.4	211.0
7.28	442.3	207.3
7.29	456.8	202.8
7.30	465.9	197.4
7.31	476.7	192.0
7.32	484.0	187.4
7.33	490.3	182.0
7.34	497.6	176.6
7.35	507.5	170.2
7.36	517.5	161.2
7.37	526.5	153.9
7.38	536.5	144.9
7.39	541.9	134.9
7.40	547.4	129.5
7.41	556.4	121.3
7.42	562.8	110.4
7.43	573.6	100.5
7.44	580.0	89.6
8.01	125.3	95.0
8.02	129.0	112.3
8.03	132.6	124.0
8.04	138.9	136.7
8.05	145.3	147.6
8.06	155.2	164.8
8.07	163.4	171.1
8.08	173.3	172.9
8.09	184.2	173.8
8.10	195.1	173.8
8.11	205.0	180.2
8.12	217.7	187.4
8.13	226.8	192.9
8.14	242.2	198.3
8.15	259.4	201.9
8.16	276.6	201.9
8.17	290.2	199.2
8.18	297.4	195.6
8.19	308.3	195.6
8.20	320.0	196.5
8.21	330.9	200.1
8.22	343.6	203.7
8.23	349.9	206.4
8.24	359.9	208.3
8.25	371.7	213.7
8.26	384.3	217.3
8.27	395.2	220.0
8.28	402.5	218.2
8.29	413.3	224.6
8.30	422.4	223.7
8.31	433.3	223.7
8.32	449.6	221.8
8.33	462.2	220.0
8.34	472.2	215.5
8.35	484.0	209.2
8.36	493.9	204.6
8.37	511.1	189.2
8.38	523.8	179.3
8.39	529.3	172.9
8.40	540.1	163.9
8.41	546.5	156.6
8.42	552.8	148.5
8.43	559.1	135.8
8.44	565.5	119.5
9.01	157.9	143.0
9.02	173.3	156.6
9.03	173.3	165.7
9.04	179.7	181.1
9.05	187.8	192.9
9.06	196.9	202.8
9.07	206.8	211.0
9.08	221.3	214.6
9.09	234.9	218.2
9.10	245.8	221.8
9.11	258.5	221.8
9.12	269.3	220.0
9.13	278.4	216.4
9.14	282.9	212.8
9.15	288.3	210.1
9.16	295.6	205.5
9.17	304.7	202.8
9.18	319.1	202.8
9.19	331.8	207.3
9.20	346.3	214.6
9.21	359.9	220.9
9.22	373.5	229.1
9.23	386.2	230.9
9.24	400.7	233.6
9.25	413.3	233.6
9.26	425.1	233.6
9.27	440.5	230.9
9.28	455.0	228.2
9.29	467.7	222.7
9.30	481.3	218.2
9.31	493.9	212.8
9.32	503.9	208.3
9.33	513.0	201.0
9.34	526.5	192.9
9.35	536.5	184.7
9.36	545.6	176.6
9.37	552.8	166.6
9.38	560.0	154.8
10.01	183.3	153.9
10.02	193.3	163.0
10.03	205.0	174.7
10.04	211.4	185.6
10.05	219.5	193.8
10.06	226.8	203.7
10.07	236.7	218.2
10.08	248.5	225.5
10.09	259.4	234.5
10.10	272.0	234.5
10.11	282.0	230.9
10.12	289.3	222.7
10.13	301.0	219.1
10.14	310.1	215.5
10.15	323.7	213.7
10.16	338.2	220.0
10.17	344.5	229.1
10.18	354.5	236.3
10.19	380.7	249.9
10.20	395.2	250.8
10.21	405.2	250.8
10.22	418.8	249.0
10.23	427.8	249.0
10.24	438.7	245.4
10.25	450.5	243.6
10.26	461.3	239.0
10.27	475.8	235.4
10.28	489.4	227.3
10.29	501.2	220.0
10.30	511.1	214.6
10.31	520.2	210.1
10.32	528.3	204.6
10.33	539.2	196.5
10.34	552.8	184.7
10.35	562.8	175.7
11.01	168.8	120.4
11.02	179.7	131.3
11.03	190.5	141.2
11.04	205.9	152.1
11.05	217.7	163.9
11.06	232.2	169.3
11.07	241.3	175.7
11.08	253.9	181.1
11.09	265.7	191.0
11.10	284.7	200.1
11.11	299.2	202.8
11.12	313.7	207.3
11.13	327.3	209.2
11.14	340.0	212.8
11.15	349.9	221.8
11.16	361.7	235.4
11.17	375.3	249.9
11.18	388.9	258.1
11.19	402.5	259.0
11.20	419.7	260.8
11.21	434.2	259.0
11.22	462.2	256.3
11.23	474.0	252.6
11.24	486.7	245.4
11.25	496.7	232.7
11.26	510.2	225.5
11.27	525.6	217.3
11.28	538.3	207.3
11.29	550.1	202.8
11.30	559.1	195.6
11.31	568.2	189.2
11.32	577.3	180.2
12.01	176.0	110.4
12.02	182.4	122.2
12.03	194.2	132.2
12.04	203.2	143.0
12.05	213.2	151.2
12.06	225.0	157.5
12.07	239.4	163.0
12.08	253.0	166.6
12.09	269.3	168.4
12.10	287.4	169.3
12.11	299.2	170.2
12.12	306.5	180.2
12.13	317.3	190.1
